GDP per capita (current US$),Cyprus,9641.575195,28281.42578
GDP per capita (current US$),Czechia,3941.503094,22992.87938
GDP per capita (current US$),Denmark,26891.44645,60836.59241
GDP per capita (current US$),Djibouti,783.6958542,2921.738706
GDP per capita (current US$),Dominica,2899.060601,7003.469891
GDP per capita (current US$),Dominican Republic,992.2389642,7167.914974
GDP per capita (current US$),Ecuador,1458.326346,5645.19929
GDP per capita (current US$),"Egypt, Arab Rep.",751.1874902,3571.556907
GDP per capita (current US$),El Salvador,897.5929821,3961.726633
GDP per capita (current US$),Equatorial Guinea,240.832676,6198.942524
GDP per capita (current US$),Eritrea,..,..
GDP per capita (current US$),Estonia,..,23595.24368
GDP per capita (current US$),Eswatini,1305.24553,3372.90461
GDP per capita (current US$),Ethiopia,254.2952546,918.6525941
GDP per capita (current US$),Faroe Islands,20236.42893,62234.96868
GDP per capita (current US$),Fiji,1713.180631,4815.689148
GDP per capita (current US$),Finland,28364.64508,49169.71934
GDP per capita (current US$),France,21865.55525,39179.74426
GDP per capita (current US$),French Polynesia,15728.7188,19185.69777
GDP per capita (current US$),Gabon,6055.060247,6680.082665
GDP per capita (current US$),"Gambia, The",304.707688,704.0304628
GDP per capita (current US$),Georgia,1561.849229,4255.742993
GDP per capita (current US$),Germany,22303.96133,46749.47623
GDP per capita (current US$),Ghana,381.2464191,2176.576218
GDP per capita (current US$),Gibraltar,..,..
GDP per capita (current US$),Greece,9600.185235,17617.29151
GDP per capita (current US$),Greenland,18326.9295,54693.07668
GDP per capita (current US$),Grenada,2807.745444,8437.536782
GDP per capita (current US$),Guam,..,34780.86166
GDP per capita (current US$),Guatemala,845.3148767,4609.897258
GDP per capita (current US$),Guinea,419.6868059,1073.659339
GDP per capita (current US$),Guinea-Bissau,250.5898464,710.258133
GDP per capita (current US$),Guyana,530.8175214,6863.074346
GDP per capita (current US$),Haiti,447.0962904,1283.141228
GDP per capita (current US$),Honduras,974.2294838,2354.121434
GDP per capita (current US$),"Hong Kong SAR, China",13485.63145,46109.22999
GDP per capita (current US$),Hungary,..,16125.60941
GDP per capita (current US$),Iceland,25384.91502,58848.41812
GDP per capita (current US$),India,368.7497594,1913.219733
GDP per capita (current US$),Indonesia,582.6789677,3895.618152
GDP per capita (current US$),"Iran, Islamic Rep.",2237.052261,2746.419483
GDP per capita (current US$),Iraq,10216.56881,4251.337253
GDP per capita (current US$),Ireland,14031.30257,85973.08849
GDP per capita (current US$),Isle of Man,..,79530.60548
GDP per capita (current US$),Israel,..,44846.7916
GDP per capita (current US$),Italy,20825.78422,31922.91916
GDP per capita (current US$),Jamaica,1919.795357,4897.26475
GDP per capita (current US$),Japan,25801.39504,39986.92863
GDP per capita (current US$),Jordan,1195.225836,3998.673138
GDP per capita (current US$),Kazakhstan,1647.41964,9121.636409
GDP per capita (current US$),Kenya,370.1001417,1936.250755
GDP per capita (current US$),Kiribati,571.4990747,1403.993853
GDP per capita (current US$),"Korea, Dem. People's Rep.",..,..
GDP per capita (current US$),"Korea, Rep.",6609.997283,31721.29891
GDP per capita (current US$),Kosovo,..,4310.934002
GDP per capita (current US$),Kuwait,11002.06562,24297.7108
GDP per capita (current US$),Kyrgyz Republic,609.1728912,1256.929226
GDP per capita (current US$),Lao PDR,200.6191481,2593.355097
GDP per capita (current US$),Latvia,..,18096.20271
GDP per capita (current US$),Lebanon,789.8503921,5599.957523
GDP per capita (current US$),Lesotho,331.5237678,917.3563813
GDP per capita (current US$),Liberia,..,597.5296919
GDP per capita (current US$),Libya,6821.874017,7034.658364
